rating,review
5.0,"(Translated by Google) The location is in the rest area, opposite the mosque. You can take away or eat on the spot. A baby chair is also available so it's quite comfortable if you bring small children. The tables and chairs have indoor and outdoor areas (on the terrace) so those who smoke can eat in the outdoor area. (Original) Lokasi berada di rest area, seberang masjid. Bisa take away ataupun makan di tempat. Tersedia BAby chair juga jadi cukup nyaman kalau membawa anak kecil. Meja kursinya ada area indoor dan outdoor (di teras) jadi yang pada ngerokok bisa mkn di area outdoor."
4.0,(Translated by Google) Not bad even though there has been a bad experience with the service of one of the employees at this kfc (Original) Lumayan meskipun pernah ada pengalaman tidak enak dengsn pelayanan salah satu pegawai di kfc ini
5.0,"(Translated by Google) KFC rest area KM.22 When we stop there we will be immediately greeted with prokes, so that guests are safe and comfortable, and staff and employees are also safe and always waiting for our arrival. Success always for Mas Prasetyo Imam and staff (Original) KFC rest area KM.22 Saat kita singgah disana kita akan langsung disambut dengan prokes, agar tamu aman dan nyaman, serta staff karyawan jg aman dan senantiasa menunggu kedatangan kita. Sukses selalu buat Mas Prasetyo Imam dan staff"
5.0,"(Translated by Google) 1.5 hours, I'm in full contact with dsni.dr mkn kfc, relax for a while & pray midday. The area is spacious, comfortable, luxurious. The mosque is also great. (Original) 1,5 jam aq hbs kan dsni.dr mkn kfc,santai2 sejenak&sholat dzuhur. Area nya luas,nyaman,mewak. Masjid nya juga bgs."
5.0,"(Translated by Google) Came here around 12 noon and the Qadarullah situation was raining heavily and crowded with visitors. Complete facilities and the toilet is also clean. The mosque is also spacious and comfortable for worship, on the terrace of the mosque can also be used to rest and unwind. Stopped at KFC for lunch, only 1 officer so the queue was pretty good. (Original) Kesini sekitar jam 12 siang dan situasi qadarullah sedang hujan deras dan ramai pengunjung. Fasilitas lengkap dan toilet juga bersih. Masjid juga luas dan nyaman untuk beribadah, di teras masjid juga bisa dipakai untuk istirahat melepas penat dan lelah. Mampir ke KFC untuk makan siang, petugas cuma 1 sehingga antri lumayan. Parking: Tempat parkir cukup luas dan memadai"
1.0,"(Translated by Google) It's really bad, I ordered a super large 4 chicken, it's not all good KFC. Keep it up, hopefully it doesn't happen to other people, just take away. It's not a blessing for you to be a corruption cashier (Original) Parah banget, pesen super besar 4 ayamnya gaada semua mantap kfc. Pertahanin, mudah mudahan tidak terjadi ke orang lain, mentang2 take away. Ga berkah lu kasir korupsi"
1.0,"(Translated by Google) Ordered super large 4 chickens, all of them are great, no blessing, bro. If you just forget one package, it's okay, it's 5 (Original) Pesen superbesar 4 ayamnya gaada semua mantap, ga berkah lu mas. Kalo cuma lupa satu paket gapapa, ini 5"
4.0,"(Translated by Google) It's just right to come in the morning, the chicken is just cooked. Fresh, juicy, the mas is friendly too. That's it. (Original) Pas banget dateng pagi-pagi ayamnya baru pada mateng. Fresh, juicy, masnya ramah juga. That's it."
4.0,"(Translated by Google) The location is next to Starbucks, the place is not too big, the menu is quite complete, the service is friendly & fast, only 1 hand washing place so have to wait when busy visitors. (Original) Lokasinya sebelah Starbucks, tempat tidak terlalu besar,menu cukup lengkap, pelayanan ramah & cepat, tempat cuci tangan hanya 1 jadi harus menunggu saat ramai pengunjung."
5.0,"(Translated by Google) The rest area that became our family's ritual place when walking on the Semarang-Ungaran toll road... There is a mosque and a large parking area, many choices of food stalls, clean toilets, the gas station is also complete....it's convenient to stop by when you are going to travel long distances via the toll road.. (Original) Rest area yg jadi tempt ritual kami sekeluarga ketika berjalan di jalur tol semarang ungaran ... Ad masjidnya dan tempat parkir luas , banyak pilihan warung tempat makan , toilet bersih , spbu nya jg komplit ....nyaman lah utk singgah ketika akan melakukan perjalanan jauh melalui jalur tol .."
