rating,review
4.0,"(Translated by Google) Iftar here, tagging seats from 17.12 when it's still quiet. The food line finished at 5:21 p.m., all the seats were full. Friendly price, good taste.. (Original) Buka puasa disini, ngetag kursi dr jam 17.12 pas masih sepi. Antre makanan selesai 17.21, udh penuh semua kursinya. Harga bersahabat, rasa enak.."
5.0,"(Translated by Google) This branch is at Citraland mall. It's across from Gelael. It's easier to enter through the back door or the rear parking lot, go through Jalan Ahmad Dahlan and then turn left onto Jalan Orchid. Somewhat open place to eat with passing mall visitors who are walking. Standard taste and price with other branches. Friendly service. The place is always clean. (Original) Cabang ini di Citraland mall. Ada di seberang Gelael. Lebih mudah masuk lewat pintu belakang atau parkir belakang, yg lewat jl ahmad dahlan trus belok kiri ke jalan anggrek. Agak terbuka tempat makan dgn lalu lalang pengunjung mall yang sedang jalan. Rasa dan harga standar dengan cabang lain. Pelayanan ramah. Tempat selalu bersih ya."
4.0,(Translated by Google) Hoka Hoka Bento at Ciputra Mall is located at the north entrance next to the Gelael shop. Pros and Cons of Hoka Hoka Bento at Ciputra Mall in my opinion: Pros ; (+) all the food and drinks are delicious according to other Hokben places (+) comfortable place (+) friendly service Cons: (-) a lot of food has run out if you order at night (-) the order process is long (Original) Hoka Hoka Bento di Mall Ciputra terletak di pintu masuk sebelah utara bersebelahan dengan toko Gelael. Pros dan Cons Hoka Hoka Bento di Mall Ciputra menurut saya : Pros ; (+) semua makana dan minumanya enak sesuai dengan Hokben tempat lain (+) tempat nyaman (+) pelayanan ramah Cons : (-) banyak makanan yang sudah habis jika pesan malam hari (-) proses pesanya lama
5.0,"(Translated by Google) stop by when implementing PPKM level 4 dine-in is limited to only 20 minutes, until you order the wrong menu, you want beef instead of chicken (Original) mampir waktu penerapan PPKM level 4 dine in dibatasi hanya 20menit, sampai salah pesan menu, pengennya beef malah keluarnya chicken 😅"
2.0,"(Translated by Google) Long service and the salad is not served up to standard. Different from the salads that I usually eat at other Hokben outlets, the salad at Hokben Ciputra Solo tastes like cabbage and raw carrots cut into pieces and then given mayo (not soaked in vinegar). (Original) Pelayanan lama dan saladnya tdk disajikan sesuai standard. Berbeda dgn salad yg biasa saya makan d gerai hokben lain, salad d hokben ciputra solo rasanya spt kubis dan wortel mentah dipotong2 langsung diberi mayo (tdk direndam bumbu cuka)."
4.0,"(Translated by Google) The set menu is affordable, the rice smells good and tastes great, only the service is a bit slow maybe because there are not too many employees at night (Original) Menu set nya terjangkau, nasi nya wangiii dan enak bgt, cuman pelayanan nya agak lambat mungkin krn karyawan tdk terlalu banyak saat malam"
4.0,"(Translated by Google) Waiters are not friendly. But the food is delicious. You can pay using shopee promos to save even more. For take away salads, very little. Eat on the spot. The rice and hokben salad are the best. For those who are promo children, you can check hokben's ig often (Original) Pelayan kurang ramah. Tapi makannaya enak. Bisa bayar pakek promo shopee biar makin hemat. Untuk salad take away dikit banget. Mending makan ditempat. Nasi sama salad hokben emnag paling enak. Bagi yang anak promo bisa sering-sering cek ig hokben ya"
5.0,"(Translated by Google) The portions are super many, make you full. The Teriyaki Value Set package is around 40k, so get 3 smokhas fried (Original) Porsinya banyak super bikin kenyang. Paket value set teriyaki sekitar 40k an dapet 3 gorengan sm ocha"
5.0,"(Translated by Google) Delicious Japanese food, currently on promos using the 50% cashback fund. The place is good, also my service several times here is always good. (Original) Makanan jepang yang enak , saat ini sedang promo menggunakan Dana cashback 50%. Tempat baik ,pelayanan juga saya beberapa kali kesini selalu baik."
5.0,"(Translated by Google) Recommended for lunch or dinner, excellent service according to Hokben standards (Original) Recomended untuk lunch or dinner, pelayanan prima sesuai standard Hokben"
