rating,review
5.0,Best pizza
4.0,I like dominos
3.0,"(Translated by Google) Mac and cheese, too sour, very salty. I just love cheese, I won't finish this. A lot left. The pizza is the opposite, the bread is delicious. Prefer the bread at dominos over the shop next door. The topping is delicious too. The service has no medicine, friendly. During the day, the room temperature is not as cold as at the Alfamart next door. (Original) Mac and cheesenya, terlalu eneg, asin banget. Ak yang doyan keju aja, ini ga aku habisin. Sisa banyak. Pizzanya kebalikan, rotinya enak. Lebih suka roti di domino dari pda di toko sebelah. Topingnya juga enak. Servicenya ga ada obat, ramah. Waktu siang, suhu ruangan tidak sedingin di alfamart sebelah."
5.0,"(Translated by Google) Try the new user promo. Pizza mania price so 7500 before tax. You can buy a lot directly. Order via the domino pizza app. Download applications, register users, order using promos. For the taste, it's pretty good, not too different from the next door neighbor. But back to each other's tastes. The place is clean, for now it only serves take away and delivery. For delivery, I don't know how many kilometers the maximum distance is, because my house is only 5 km away, I can't order delivery. (Original) Nyobain promo new user. Pizza mania harga jadi 7500 belum pajak. Beli langsung banyak juga bisa. Pesan lewat aplikasi domino pizza. Download aplikasi, daftar user, pesen pakai promo. Untuk rasa sih lumayan, ga terlalu beda dengan tetangga sebelahnya. Tapi kembali lagi ke selera masing-masing. Tempat bersih, untuk saat ini hanya melayani take away dan delivery. Untuk delivery sih kurang tau jarak maksimalnya berapa kilometer, karena rumah saya hanya berjarak 5 km pesan delivery tidak bisa."
5.0,"(Translated by Google) Friendly service even if you only buy a little, quite fast too. There are various kinds of payments, cash or non-cash (shopeepay, funds, ovo, gopay, etc.). There are several seats spaced apart to wait for online motorcycle taxi take away / delivery orders. No dine-in available during the pandemic. The place is clean, the kitchen also looks clean. (Original) Pelayanan ramah walaupun hanya beli sedikit, cukup cepat juga. Tersedia berbagai macam pembayaran, tunai ataupun non-tunai (shopeepay, dana, ovo, gopay, dll). Tersedia beberapa kursi berjarak untuk menunggu pesanan take away / delivery ojek online. Tidak tersedia dine-in selama pandemi. Tempat bersih, dapur juga terlihat bersih."
5.0,(Translated by Google) Choice of various kinds of pizza with delicious taste and family-liked (Original) Pilihan aneka macam pizza dengan rasa yang enak dan disukai keluarga
5.0,(Translated by Google) Fast and friendly service. Wait time 10-20 minutes. Ample parking area. The place is comfortable and spaced according to health protocols. Lots of promos. Does not provide plastic bags (Original) Pelayanan cepat dan ramah. Waktutunggu 10-20 menit. Parkir cukup luas. Tempat nyaman dan berjarak sesuai protokol kesehatan. Banyak promo. Tidak menyediakan kantong plastik
4.0,"(Translated by Google) Want to try pizza in addition to the pizza hut directly cus to Pamularsih. Direct order while there is a promo ... The place is clean, the service is ok and the waiting time is around 20 minutes. The pizza is not too thick and the taste is pretty thick. (Original) Pingin coba pizza selain di pizza hut langsung cus ke pamularsih. Langsung order mumpung lagi ada promo... Tempatnya bersih, pelayanan ok dAn waktu tunggu sekitar 20 menit. Pizzanya kulitnya nggak terlalu tebal n rasa lumayan."
5.0,"(Translated by Google) delicious, yes delicious. so, for now in the pandemic, domino's pizza can only be bought to take home. while waiting for orders we can see the process of making pizza. cool right. there happened to be a promo buy 4 for Rp. 60,000. it's small, but it feels pretty good. the service is friendly and deft. for those who haven't tried domino's pizza, please try. by delivery food can also be easy. (Original) enak, iya enak. jadi, buat sekarang di masa pandemi, domino's pizza cuma bisa dibeli untuk dibawa pulang. sambil menunggu pesanan kita bisa melihat proses pembuatan pizza. asik kan. kebetulan ada promo beli 4 seharga Rp 60.000. kecil sih, tapi rasanya cukup oke. pelayanannya ramah dan cekatan. buat yang belum nyoba domino's pizza, silakan bisa nyoba. by delivery food juga bisa, gampang kan."
5.0,"(Translated by Google) This pizza is really amazing. The taste is different from the brand next door. Have tried the extra large cheese pepperoni, delicious. The ultimate premium cheese melt pizza, original the best, already ordered 2x. The other one is delicious too, try the medium size with double cheese crust. Great 5/5 delicious. Lots of promos too, often get discounts. (Original) Pizza nya amazing banget ini. Beda taste nya sama merk sebelah. Udah cobain extra large yg cheese pepperoni, enak. Yg pizza premium ultimate cheese melt, asli the best, udah order 2x. Yg lainnya enak jg, cobain size medium dgn double cheese crust. Enak bgt 5/5. Banyak promo jg, sering dpt diskon."
